file,sha256,journaled,operation_count,creates_tables,alters_tables
0000_fantastic_red_wolf.sql,a99319ba4bec3614961bcd45730e4e718249f28d87709c688442bee732809624,yes,76,accounts|activity_logs|appointments|availability_rules|clients|comments|files|folders|invoice_items|invoices|payments|portal_access_logs|project_members|projects|prompt_generations|prompt_templates|sessions|tasks|time_entries|users|verifications|workspace_invoice_counters|workspace_members|workspaces,accounts|activity_logs|appointments|availability_rules|clients|comments|files|folders|invoice_items|invoices|payments|portal_access_logs|project_members|projects|prompt_generations|prompt_templates|sessions|tasks|time_entries|workspace_invoice_counters|workspace_members|workspaces
0001_simple_karma.sql,6bd630eeb747e9a2dd1e538b38b093313f6f811e25f3a04f9ca26e819c84d86d,yes,1,,files
0002_ai_search_indexes.sql,d5e45b67172709bce1d98c4aabb09d748763a99028e4486fb91900610f1a6a86,no,4,,
0003_finance.sql,e71f63ecc81269dc97be906ff99c5b1e4125dc378177206b5c2494cfa7105b9a,yes,13,ai_conversations|ai_messages|expense_categories|expenses,ai_conversations|ai_messages|expense_categories|expenses
0004_proposals_recurring.sql,35302e35bf5ff6919a0b82ade182cc527692be17932f2c57a796e10cdcc845f2,yes,10,expense_recurring|proposals,expense_recurring|proposals
0005_brief_zzzax.sql,8144f549df656233aa6c6bedd806c7cdb1fa86bc983b9d55d377aa1043f0ac17,yes,84,contract_templates|contracts|custom_package_requests|email_messages|email_templates|invoice_templates|notifications|package_orders|packages|pakasir_payments|personal_notes|portal_requests|portal_visits|questionnaire_responses|questionnaires|support_tickets,clients|contract_templates|contracts|custom_package_requests|email_messages|email_templates|expenses|files|invoice_templates|invoices|notifications|package_orders|packages|pakasir_payments|personal_notes|portal_requests|portal_visits|projects|questionnaire_responses|questionnaires|support_tickets|time_entries|users|workspaces
0005_questionnaires.sql,30085679f884ed24f6e437397fdb73ab4c5d2fd675a7f71dd9fcef66b741e5a2,no,8,questionnaire_responses|questionnaires,questionnaire_responses|questionnaires
0006_contracts.sql,1fe93e88e968416756a8c1600adf911ef8032ff5c2601ab01a1b6d0d9f3b86dd,no,9,contract_templates|contracts,contract_templates|contracts
0007_workspace_billing_extras.sql,0c8debadd5bd980e5549b4c7b32a7512d00727ad51cad31728d6ce5f4cc6cd67,no,3,,workspaces
0008_notifications_and_idr.sql,266defbc534f27a7048115b7bccc845f9dd3eef76461950a53975764f6eea2a9,no,6,notifications|portal_visits,files
0009_workspace_reply_to_email.sql,189e6cd2aa99023737ae3ab2956e8f54e7958030103c887bbba5ad4882aa4fd7,no,1,,workspaces
0010_workspace_plan.sql,37efaa1a5583acf75a159477e14e2a61bacafb5ec89739235f2991767e02608f,no,2,,workspaces
0011_pakasir_payments.sql,cc99ffb546408249daa91f4e532719d17db872e5ecd1c214a8e58899b68a410a,no,1,pakasir_payments,
0012_phase1_portal_slug_requests.sql,9148d5e0382d50b3b24c369cec40d3bb0ba6a73cc288d173c508188dd356d4f8,no,8,portal_requests,clients
0013_p4_email_personal_workspace.sql,a84bee041183d881e6b0b1e371eadf9334c4f02ef7b14e0c3325add4c0085950,no,6,email_messages|personal_notes,
0014_p4b_email_templates_note_edit.sql,bf950d0da587446b9ffc3cd8708d78ece2b09e4f5ab893fefcf309af1e8db7ea,no,2,email_templates,
0015_project_type_dates.sql,ff6406d3b844acdeafabb7965f5b5257ea73838b4794553be1178656266e5353,no,3,,projects
