schema_name,table_name,conname,contype,definition,convalidated,condeferrable,condeferred
public,accounts,accounts_user_id_users_id_fk,f,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE,t,f,f
public,accounts,accounts_pkey,p,PRIMARY KEY (id),t,f,f
public,activity_logs,activity_logs_actor_id_users_id_fk,f,FOREIGN KEY (actor_id) REFERENCES users(id) ON DELETE SET NULL,t,f,f
public,activity_logs,activity_logs_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,activity_logs,activity_logs_pkey,p,PRIMARY KEY (id),t,f,f
public,ai_conversations,ai_conversations_user_id_users_id_fk,f,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE,t,f,f
public,ai_conversations,ai_conversations_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,ai_conversations,ai_conversations_pkey,p,PRIMARY KEY (id),t,f,f
public,ai_messages,ai_messages_role_check,c,"CHECK (role = ANY (ARRAY['user'::text, 'assistant'::text, 'tool'::text]))",t,f,f
public,ai_messages,ai_messages_conversation_id_ai_conversations_id_fk,f,FOREIGN KEY (conversation_id) REFERENCES ai_conversations(id) ON DELETE CASCADE,t,f,f
public,ai_messages,ai_messages_conversation_id_fkey,f,FOREIGN KEY (conversation_id) REFERENCES ai_conversations(id) ON DELETE CASCADE,t,f,f
public,ai_messages,ai_messages_pkey,p,PRIMARY KEY (id),t,f,f
public,ai_usage_daily,ai_usage_daily_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,ai_usage_daily,ai_usage_daily_ws_date,u,"UNIQUE (workspace_id, usage_date)",t,f,f
public,appointments,appointments_client_id_clients_id_fk,f,FOREIGN KEY (client_id) REFERENCES clients(id) ON DELETE SET NULL,t,f,f
public,appointments,appointments_user_id_users_id_fk,f,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE,t,f,f
public,appointments,appointments_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,appointments,appointments_pkey,p,PRIMARY KEY (id),t,f,f
public,availability_rules,availability_rules_user_id_users_id_fk,f,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE,t,f,f
public,availability_rules,availability_rules_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,availability_rules,availability_rules_pkey,p,PRIMARY KEY (id),t,f,f
public,client_google_calendar_connections,client_google_calendar_connections_client_id_fkey,f,FOREIGN KEY (client_id) REFERENCES clients(id) ON DELETE CASCADE,t,f,f
public,client_google_calendar_connections,client_google_calendar_connections_connected_by_user_id_fkey,f,FOREIGN KEY (connected_by_user_id) REFERENCES users(id) ON DELETE SET NULL,t,f,f
public,client_google_calendar_connections,client_google_calendar_connections_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,client_google_calendar_connections,client_google_calendar_connections_pkey,p,PRIMARY KEY (id),t,f,f
public,client_google_calendar_connections,client_google_calendar_connections_client_id_key,u,UNIQUE (client_id),t,f,f
public,client_google_calendar_connections,client_google_calendar_connections_invite_token_hash_key,u,UNIQUE (invite_token_hash),t,f,f
public,clients,clients_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,clients,clients_pkey,p,PRIMARY KEY (id),t,f,f
public,clients,clients_portal_token_hash_unique,u,UNIQUE (portal_token_hash),t,f,f
public,comments,comments_author_id_users_id_fk,f,FOREIGN KEY (author_id) REFERENCES users(id) ON DELETE SET NULL,t,f,f
public,comments,comments_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,comments,comments_pkey,p,PRIMARY KEY (id),t,f,f
public,contract_templates,contract_templates_created_by_users_id_fk,f,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE SET NULL,t,f,f
public,contract_templates,contract_templates_workspace_id_workspaces_id_fk,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE,t,f,f
public,contract_templates,contract_templates_pkey,p,PRIMARY KEY (id),t,f,f
public,contracts,contracts_client_id_clients_id_fk,f,FOREIGN KEY (client_id) REFERENCES clients(id) ON DELETE CASCADE,t,f,f
public,contracts,contracts_created_by_users_id_fk,f,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE SET NULL,t,f,f
