schemaname,tablename,indexname,indexdef
public,accounts,accounts_pkey,CREATE UNIQUE INDEX accounts_pkey ON public.accounts USING btree (id)
public,accounts,idx_accounts_user_id,CREATE INDEX idx_accounts_user_id ON public.accounts USING btree (user_id)
public,activity_logs,activity_logs_pkey,CREATE UNIQUE INDEX activity_logs_pkey ON public.activity_logs USING btree (id)
public,activity_logs,idx_activity_logs_actor_id,CREATE INDEX idx_activity_logs_actor_id ON public.activity_logs USING btree (actor_id)
public,activity_logs,idx_activity_logs_workspace_id,CREATE INDEX idx_activity_logs_workspace_id ON public.activity_logs USING btree (workspace_id)
public,ai_conversations,ai_conv_ws_user_idx,"CREATE INDEX ai_conv_ws_user_idx ON public.ai_conversations USING btree (workspace_id, user_id, updated_at DESC)"
public,ai_conversations,ai_conversations_pkey,CREATE UNIQUE INDEX ai_conversations_pkey ON public.ai_conversations USING btree (id)
public,ai_messages,ai_messages_pkey,CREATE UNIQUE INDEX ai_messages_pkey ON public.ai_messages USING btree (id)
public,ai_messages,ai_msg_conv_idx,"CREATE INDEX ai_msg_conv_idx ON public.ai_messages USING btree (conversation_id, created_at)"
public,ai_usage_daily,ai_usage_daily_ws_date,"CREATE UNIQUE INDEX ai_usage_daily_ws_date ON public.ai_usage_daily USING btree (workspace_id, usage_date)"
public,appointments,appointments_pkey,CREATE UNIQUE INDEX appointments_pkey ON public.appointments USING btree (id)
public,appointments,idx_appointments_client_id,CREATE INDEX idx_appointments_client_id ON public.appointments USING btree (client_id)
public,appointments,idx_appointments_user_id,CREATE INDEX idx_appointments_user_id ON public.appointments USING btree (user_id)
public,appointments,idx_appointments_workspace_id,CREATE INDEX idx_appointments_workspace_id ON public.appointments USING btree (workspace_id)
public,availability_rules,availability_rules_pkey,CREATE UNIQUE INDEX availability_rules_pkey ON public.availability_rules USING btree (id)
public,availability_rules,idx_availability_rules_user_id,CREATE INDEX idx_availability_rules_user_id ON public.availability_rules USING btree (user_id)
public,availability_rules,idx_availability_rules_workspace_id,CREATE INDEX idx_availability_rules_workspace_id ON public.availability_rules USING btree (workspace_id)
public,client_google_calendar_connections,client_gcal_status_idx,CREATE INDEX client_gcal_status_idx ON public.client_google_calendar_connections USING btree (status)
public,client_google_calendar_connections,client_gcal_workspace_id_idx,CREATE INDEX client_gcal_workspace_id_idx ON public.client_google_calendar_connections USING btree (workspace_id)
public,client_google_calendar_connections,client_google_calendar_connections_client_id_key,CREATE UNIQUE INDEX client_google_calendar_connections_client_id_key ON public.client_google_calendar_connections USING btree (client_id)
public,client_google_calendar_connections,client_google_calendar_connections_invite_token_hash_key,CREATE UNIQUE INDEX client_google_calendar_connections_invite_token_hash_key ON public.client_google_calendar_connections USING btree (invite_token_hash)
public,client_google_calendar_connections,client_google_calendar_connections_pkey,CREATE UNIQUE INDEX client_google_calendar_connections_pkey ON public.client_google_calendar_connections USING btree (id)
public,clients,clients_name_trgm,CREATE INDEX clients_name_trgm ON public.clients USING gin (name gin_trgm_ops)
public,clients,clients_pkey,CREATE UNIQUE INDEX clients_pkey ON public.clients USING btree (id)
public,clients,clients_portal_slug_unique,CREATE UNIQUE INDEX clients_portal_slug_unique ON public.clients USING btree (portal_slug) WHERE (portal_slug IS NOT NULL)
public,clients,clients_portal_token_hash_unique,CREATE UNIQUE INDEX clients_portal_token_hash_unique ON public.clients USING btree (portal_token_hash)
public,clients,clients_workspace_client_number_unique,"CREATE UNIQUE INDEX clients_workspace_client_number_unique ON public.clients USING btree (workspace_id, client_number) WHERE (client_number IS NOT NULL)"
public,clients,idx_clients_workspace_id,CREATE INDEX idx_clients_workspace_id ON public.clients USING btree (workspace_id)
public,comments,comments_pkey,CREATE UNIQUE INDEX comments_pkey ON public.comments USING btree (id)
public,comments,idx_comments_author_id,CREATE INDEX idx_comments_author_id ON public.comments USING btree (author_id)
public,comments,idx_comments_workspace_id,CREATE INDEX idx_comments_workspace_id ON public.comments USING btree (workspace_id)
public,contract_templates,contract_templates_pkey,CREATE UNIQUE INDEX contract_templates_pkey ON public.contract_templates USING btree (id)
public,contract_templates,idx_contract_templates_created_by,CREATE INDEX idx_contract_templates_created_by ON public.contract_templates USING btree (created_by)
public,contract_templates,idx_contract_templates_workspace_id,CREATE INDEX idx_contract_templates_workspace_id ON public.contract_templates USING btree (workspace_id)
public,contracts,contracts_pkey,CREATE UNIQUE INDEX contracts_pkey ON public.contracts USING btree (id)
public,contracts,contracts_shared_token_hash_unique,CREATE UNIQUE INDEX contracts_shared_token_hash_unique ON public.contracts USING btree (shared_token_hash)
public,contracts,idx_contracts_client_id,CREATE INDEX idx_contracts_client_id ON public.contracts USING btree (client_id)
public,contracts,idx_contracts_created_by,CREATE INDEX idx_contracts_created_by ON public.contracts USING btree (created_by)
public,contracts,idx_contracts_project_id,CREATE INDEX idx_contracts_project_id ON public.contracts USING btree (project_id)
public,contracts,idx_contracts_template_id,CREATE INDEX idx_contracts_template_id ON public.contracts USING btree (template_id)
public,contracts,idx_contracts_workspace_id,CREATE INDEX idx_contracts_workspace_id ON public.contracts USING btree (workspace_id)
public,custom_package_requests,custom_package_requests_pkey,CREATE UNIQUE INDEX custom_package_requests_pkey ON public.custom_package_requests USING btree (id)
public,custom_package_requests,idx_custom_package_requests_project_id,CREATE INDEX idx_custom_package_requests_project_id ON public.custom_package_requests USING btree (project_id)
public,custom_package_requests,idx_custom_package_requests_workspace_id,CREATE INDEX idx_custom_package_requests_workspace_id ON public.custom_package_requests USING btree (workspace_id)
public,email_messages,email_messages_client_idx,CREATE INDEX email_messages_client_idx ON public.email_messages USING btree (client_id)
public,email_messages,email_messages_pkey,CREATE UNIQUE INDEX email_messages_pkey ON public.email_messages USING btree (id)
public,email_messages,email_messages_workspace_created_idx,"CREATE INDEX email_messages_workspace_created_idx ON public.email_messages USING btree (workspace_id, created_at DESC)"
public,email_messages,idx_email_messages_project_id,CREATE INDEX idx_email_messages_project_id ON public.email_messages USING btree (project_id)
public,email_messages,idx_email_messages_user_id,CREATE INDEX idx_email_messages_user_id ON public.email_messages USING btree (user_id)
public,email_templates,email_templates_pkey,CREATE UNIQUE INDEX email_templates_pkey ON public.email_templates USING btree (id)
public,email_templates,email_templates_workspace_category_idx,"CREATE INDEX email_templates_workspace_category_idx ON public.email_templates USING btree (workspace_id, category, name)"
public,email_templates,email_templates_workspace_id_name_key,"CREATE UNIQUE INDEX email_templates_workspace_id_name_key ON public.email_templates USING btree (workspace_id, name)"
public,email_templates,idx_email_templates_user_id,CREATE INDEX idx_email_templates_user_id ON public.email_templates USING btree (user_id)
public,expense_categories,expense_categories_pkey,CREATE UNIQUE INDEX expense_categories_pkey ON public.expense_categories USING btree (id)
public,expense_categories,expense_categories_workspace_id_name_unique,"CREATE UNIQUE INDEX expense_categories_workspace_id_name_unique ON public.expense_categories USING btree (workspace_id, name)"
public,expense_recurring,expense_recurring_pkey,CREATE UNIQUE INDEX expense_recurring_pkey ON public.expense_recurring USING btree (id)
public,expense_recurring,idx_expense_recurring_category_id,CREATE INDEX idx_expense_recurring_category_id ON public.expense_recurring USING btree (category_id)
public,expense_recurring,idx_expense_recurring_created_by,CREATE INDEX idx_expense_recurring_created_by ON public.expense_recurring USING btree (created_by)
public,expense_recurring,idx_expense_recurring_project_id,CREATE INDEX idx_expense_recurring_project_id ON public.expense_recurring USING btree (project_id)
public,expense_recurring,idx_expense_recurring_workspace_id,CREATE INDEX idx_expense_recurring_workspace_id ON public.expense_recurring USING btree (workspace_id)
public,expenses,expenses_pkey,CREATE UNIQUE INDEX expenses_pkey ON public.expenses USING btree (id)
public,expenses,idx_expenses_category_id,CREATE INDEX idx_expenses_category_id ON public.expenses USING btree (category_id)
public,expenses,idx_expenses_client_id,CREATE INDEX idx_expenses_client_id ON public.expenses USING btree (client_id)
public,expenses,idx_expenses_created_by,CREATE INDEX idx_expenses_created_by ON public.expenses USING btree (created_by)
public,expenses,idx_expenses_project_id,CREATE INDEX idx_expenses_project_id ON public.expenses USING btree (project_id)
public,expenses,idx_expenses_workspace_id,CREATE INDEX idx_expenses_workspace_id ON public.expenses USING btree (workspace_id)
public,files,files_pkey,CREATE UNIQUE INDEX files_pkey ON public.files USING btree (id)
public,files,idx_files_client_id,CREATE INDEX idx_files_client_id ON public.files USING btree (client_id)
