table_name,column_name,data_type,is_nullable,column_default
accounts,id,text,NO,
accounts,account_id,text,NO,
accounts,provider_id,text,NO,
accounts,user_id,text,NO,
accounts,access_token,text,YES,
accounts,refresh_token,text,YES,
accounts,id_token,text,YES,
accounts,access_token_expires_at,timestamp with time zone,YES,
accounts,refresh_token_expires_at,timestamp with time zone,YES,
accounts,scope,text,YES,
accounts,password,text,YES,
accounts,created_at,timestamp with time zone,NO,now()
accounts,updated_at,timestamp with time zone,NO,now()
activity_logs,id,uuid,NO,gen_random_uuid()
activity_logs,workspace_id,uuid,NO,
activity_logs,actor_id,text,YES,
activity_logs,action,text,NO,
activity_logs,entity_type,text,NO,
activity_logs,entity_id,uuid,YES,
activity_logs,metadata,jsonb,NO,'{}'::jsonb
activity_logs,created_at,timestamp with time zone,NO,now()
ai_conversations,id,uuid,NO,gen_random_uuid()
ai_conversations,workspace_id,uuid,NO,
ai_conversations,user_id,text,NO,
ai_conversations,title,text,NO,'New chat'::text
ai_conversations,created_at,timestamp with time zone,NO,now()
ai_conversations,updated_at,timestamp with time zone,NO,now()
ai_messages,id,uuid,NO,gen_random_uuid()
ai_messages,conversation_id,uuid,NO,
ai_messages,role,text,NO,
ai_messages,content,text,NO,''::text
ai_messages,tool_calls,jsonb,NO,'[]'::jsonb
ai_messages,tool_name,text,YES,
ai_messages,tokens,integer,NO,0
ai_messages,created_at,timestamp with time zone,NO,now()
ai_usage_daily,workspace_id,uuid,NO,
ai_usage_daily,usage_date,date,NO,
ai_usage_daily,count,integer,NO,0
ai_usage_daily,updated_at,timestamp with time zone,NO,now()
appointments,id,uuid,NO,gen_random_uuid()
appointments,workspace_id,uuid,NO,
appointments,client_id,uuid,YES,
appointments,user_id,text,NO,
appointments,title,text,NO,
appointments,notes,text,YES,
appointments,attendee_name,text,YES,
appointments,attendee_email,text,YES,
appointments,start_time,timestamp with time zone,NO,
appointments,end_time,timestamp with time zone,NO,
appointments,status,text,NO,'scheduled'::text
appointments,created_at,timestamp with time zone,NO,now()
appointments,google_event_id,text,YES,
appointments,google_calendar_id,text,YES,
availability_rules,id,uuid,NO,gen_random_uuid()
availability_rules,workspace_id,uuid,NO,
availability_rules,user_id,text,NO,
availability_rules,day_of_week,integer,NO,
availability_rules,start_time,time without time zone,NO,
availability_rules,end_time,time without time zone,NO,
availability_rules,timezone,text,NO,'UTC'::text
availability_rules,created_at,timestamp with time zone,NO,now()
client_google_calendar_connections,id,uuid,NO,gen_random_uuid()
client_google_calendar_connections,client_id,uuid,NO,
client_google_calendar_connections,workspace_id,uuid,NO,
client_google_calendar_connections,connected_by_user_id,text,YES,
client_google_calendar_connections,google_account_email,text,YES,
client_google_calendar_connections,access_token_enc,text,YES,
client_google_calendar_connections,refresh_token_enc,text,YES,
client_google_calendar_connections,scope,text,YES,
client_google_calendar_connections,token_type,text,YES,
client_google_calendar_connections,expiry_date,timestamp with time zone,YES,
client_google_calendar_connections,calendar_id,text,NO,'primary'::text
client_google_calendar_connections,invite_token_hash,text,YES,
client_google_calendar_connections,invite_token_expires_at,timestamp with time zone,YES,
client_google_calendar_connections,status,text,NO,'pending_invite'::text
client_google_calendar_connections,last_error,text,YES,
client_google_calendar_connections,connected_at,timestamp with time zone,YES,
client_google_calendar_connections,updated_at,timestamp with time zone,NO,now()
client_google_calendar_connections,created_at,timestamp with time zone,NO,now()
clients,id,uuid,NO,gen_random_uuid()
clients,workspace_id,uuid,NO,
clients,name,text,NO,
clients,company_name,text,YES,
clients,email,text,YES,
clients,phone,text,YES,
clients,website,text,YES,
clients,address,text,YES,
clients,status,text,NO,'active'::text
clients,tags,ARRAY,NO,'{}'::text[]
clients,internal_notes,text,YES,
clients,portal_enabled,boolean,NO,false
clients,portal_token_hash,text,YES,
clients,portal_token_expires_at,timestamp with time zone,YES,
clients,portal_token_revoked_at,timestamp with time zone,YES,
clients,created_at,timestamp with time zone,NO,now()
clients,updated_at,timestamp with time zone,NO,now()
clients,portal_slug,text,YES,
clients,portal_slug_enabled,boolean,NO,true
clients,client_number,text,YES,
comments,id,uuid,NO,gen_random_uuid()
comments,workspace_id,uuid,NO,
comments,entity_type,text,NO,
comments,entity_id,uuid,NO,
comments,body,text,NO,
comments,visibility,text,NO,'internal'::text
comments,author_id,text,YES,
comments,author_name,text,YES,
comments,author_email,text,YES,
comments,source,text,NO,'internal'::text
comments,created_at,timestamp with time zone,NO,now()
contract_templates,id,uuid,NO,gen_random_uuid()
contract_templates,workspace_id,uuid,NO,
contract_templates,name,text,NO,
contract_templates,body,text,NO,
contract_templates,is_default,boolean,NO,false
contract_templates,created_by,text,YES,
contract_templates,created_at,timestamp with time zone,NO,now()
contract_templates,updated_at,timestamp with time zone,NO,now()
contracts,id,uuid,NO,gen_random_uuid()
contracts,workspace_id,uuid,NO,
contracts,client_id,uuid,NO,
contracts,project_id,uuid,YES,
contracts,template_id,uuid,YES,
contracts,title,text,NO,
contracts,body,text,YES,
contracts,body_resolved,text,YES,
contracts,variables,jsonb,NO,'{}'::jsonb
contracts,valid_until,date,YES,
contracts,status,text,NO,'draft'::text
contracts,decline_reason,text,YES,
